"","OID_","Field1","Lake","Project","Time","PercentCoverage","Depth","POINT_X","POINT_Y","geometry","id_point","fetch_km","weighted_fetch_km","fetch_km_all","weighted_fetch_km_all"
"362",659,659,"G-Bay","IMRP","2024-09-10T18:48:02Z",25,70,-79.861207,44.8679710000001,c(589960.234637847, 4968914.56663225),362,0.0249105766621739,0.0249105766621739,0.749577381510906,0.749577381510906
"363",660,660,"G-Bay","IMRP","2024-09-10T18:50:06Z",40,80,-79.861187,44.8679750000001,c(589961.808330265, 4968915.0331283),363,0.0259094520291017,0.0259094520291017,0.747646609596941,0.747646609596941
"364",661,661,"G-Bay","IMRP","2024-09-10T18:50:20Z",40,90,-79.861188,44.867936,c(589961.790089954, 4968910.69971008),364,0.0277785061140793,0.0277785061140793,0.73293713434396,0.73293713434396
"365",662,662,"G-Bay","IMRP","2024-09-10T18:50:30Z",70,100,-79.861187,44.867911,c(589961.908032276, 4968907.92369589),365,0.0281972007710749,0.0281972007710749,0.736748414688445,0.736748414688445
"366",663,663,"G-Bay","IMRP","2024-09-10T18:50:53Z",30,90,-79.861238,44.8678590000001,c(589957.960226583, 4968902.09078376),366,0.0246044924442226,0.0246044924442226,0.726404220414861,0.726404220414861
"367",664,664,"G-Bay","IMRP","2024-09-10T18:51:02Z",30,80,-79.8612659999999,44.8678410000001,c(589955.776368177, 4968900.0602383),367,0.0225690883222861,0.0225690883222861,0.735611448273963,0.735611448273963
"368",665,665,"G-Bay","IMRP","2024-09-10T18:51:09Z",30,80,-79.8612879999999,44.867828,c(589954.058698224, 4968898.59176441),368,0.0209642616153246,0.0209642616153246,0.7218733312339,0.7218733312339
"369",666,666,"G-Bay","IMRP","2024-09-10T18:51:21Z",40,80,-79.861307,44.8677970000001,c(589952.60605486, 4968895.12708633),369,0.019907670678126,0.019907670678126,0.721729854811504,0.721729854811504
"370",667,667,"G-Bay","IMRP","2024-09-10T18:51:30Z",50,80,-79.861316,44.867778,c(589951.924682606, 4968893.00650421),370,0.0195145640837657,0.0195145640837657,0.721747369932737,0.721747369932737
"371",668,668,"G-Bay","IMRP","2024-09-10T18:51:42Z",80,85,-79.861319,44.867756,c(589951.721961731, 4968890.55931376),371,0.0196511212561711,0.0196511212561711,0.735314821041439,0.735314821041439
"372",669,669,"G-Bay","IMRP","2024-09-10T18:51:50Z",100,90,-79.861329,44.8677300000001,c(589950.97249564, 4968887.66002993),372,0.0192978392323487,0.0192978392323487,0.735165410384971,0.735165410384971
"373",670,670,"G-Bay","IMRP","2024-09-10T18:51:57Z",100,85,-79.861341,44.867714,c(589950.049459438, 4968885.86937959),373,0.0186142783325229,0.0186142783325229,0.734943452481942,0.734943452481942
"374",671,671,"G-Bay","IMRP","2024-09-10T18:52:10Z",100,80,-79.861364,44.867694,c(589948.263690888, 4968883.62220554),374,0.0171219282202431,0.0171219282202431,0.721058614743879,0.721058614743879
