"","OID_","Field1","Lake","Project","Time","PercentCoverage","Depth","POINT_X","POINT_Y","geometry","id_point","fetch_km","weighted_fetch_km","fetch_km_all","weighted_fetch_km_all"
"168",168,168,"Ontario","IMRP","2024-08-07T17:55:38Z",100,46,-77.031015,44.074781,c(817818.376975542, 4887842.00497776),168,0.00652131214523409,0.00652131214523409,0.30470228486563,0.30470228486563
"169",169,169,"Ontario","IMRP","2024-08-07T17:56:08Z",100,37,-77.0310229999999,44.07482,c(817817.527261596, 4887846.3061017),169,0.00835647248589619,0.00835647248589619,0.303944256699248,0.303944256699248
"170",170,170,"Ontario","IMRP","2024-08-07T17:56:40Z",100,41,-77.031009,44.074869,c(817818.385688946, 4887851.80303316),170,0.0108851790375791,0.0108851790375791,0.304001706617116,0.304001706617116
"171",171,171,"Ontario","IMRP","2024-08-07T17:57:21Z",10,66,-77.031054,44.0749530000001,c(817814.331793194, 4887860.95966845),171,0.00203155868984898,0.00203155868984898,0.269485727263275,0.269485727263275
"172",172,172,"Ontario","IMRP","2024-08-07T17:58:16Z",100,67,-77.030944,44.0749520000001,c(817823.1458915, 4887861.27372876),172,0.00714932017422176,0.00714932017422176,0.272113692350848,0.272113692350848
"173",173,173,"Ontario","IMRP","2024-08-07T17:59:31Z",100,50,-77.030857,44.0749970000001,c(817829.871548841, 4887866.60849408),173,0.00379162520183905,0.00379162520183905,0.271636445245574,0.271636445245574
"174",174,174,"Ontario","IMRP","2024-08-07T18:00:17Z",100,47,-77.030789,44.0749950000001,c(817835.32766858, 4887866.64916251),174,0.00418983967789959,0.00418983967789959,0.400602052793238,0.400602052793238
"175",175,175,"Ontario","IMRP","2024-08-07T18:16:21Z",0,44,-77.06774,44.067015,c(814918.69714443, 4886838.09581191),175,0.00159431124095176,0.00159431124095176,1.08283931924088,1.08283931924088
"176",176,176,"Ontario","IMRP","2024-08-07T18:16:47Z",30,39,-77.067788,44.0670030000001,c(814914.916545289, 4886836.57908933),176,0.0018790735690624,0.0018790735690624,1.08277956695983,1.08277956695983
"177",177,177,"Ontario","IMRP","2024-08-07T18:17:08Z",0,31,-77.067831,44.066993,c(814911.525774499, 4886835.30366894),177,0.00102765081198376,0.00102765081198376,1.08244542190439,1.08244542190439
"178",178,178,"Ontario","IMRP","2024-08-07T18:17:24Z",50,42,-77.06785,44.0669750000001,c(814910.099647566, 4886833.23152034),178,0.00201984287119905,0.00201984287119905,1.082701037026,1.082701037026
"179",179,179,"Ontario","IMRP","2024-08-07T18:18:01Z",10,33,-77.067896,44.0669540000001,c(814906.527016223, 4886830.72276048),179,0.00164148167748831,0.00164148167748831,1.08228009056383,1.08228009056383
"180",180,180,"Ontario","IMRP","2024-08-07T18:18:46Z",80,60,-77.067962,44.0669080000001,c(814901.48533158, 4886825.36048293),180,0.00262616156980204,0.00262616156980204,1.08448103024307,1.08448103024307
